iter	Passed	Remaining
0	0	81
1	1	72
2	2	67
3	2	61
4	3	61
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	54
12	8	53
13	8	53
14	9	52
15	9	51
16	10	50
17	10	50
18	11	49
19	12	48
20	12	48
21	13	47
22	14	47
23	14	46
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
